"metadata","pageContent"
"{""decision"":""Pause.""}","Hey"
"{""decision"":""Pause.""}","Well"
"{""decision"":""Pause.""}","Im"
"{""decision"":""Pause""}","No but let me"
"{""decision"":""Pause.""}","Well I"
"{""decision"":""Pause.""}","That would be"
"{""decision"":""Pause.""}","That drives me because"
"{""decision"":""Pause""}","Yes My"
"{""decision"":""Pause""}","Okay so what I"
"{""decision"":""Pause.""}","Well I have"
"{""decision"":""Pause.""}","Its me getting"
"{""decision"":""Pause.""}","Because Im busy Im a very busy"
"{""decision"":""Pause.""}","Well I have a"
"{""decision"":""Pause""}","Hey how are"
"{""decision"":""Pause""}","Okay so what I normally"
"{""decision"":""Pause.""}","Yes my"
"{""decision"":""Pause.""}","Because Im busy Im a very"
"{""decision"":""Pause.""}","Because Im busy Im"
"{""decision"":""Pause""}","How you could"
"{""decision"":""Pause.""}","No but let me just"
"{""decision"":""Pause.""}","Okay Im sorry about that Somebody walked"
"{""decision"":""Pause.""}","No 30000"
"{""decision"":""Pause.""}","Because of the overwhelming of people and"
"{""decision"":""Pause.""}","That would"
"{""decision"":""Pause.""}","Because Im busy"
"{""decision"":""Pause.""}","My price point is 1200 A"
"{""decision"":""Pause.""}","Yes My financial target to"
"{""decision"":""Pause.""}","Hey how"
"{""decision"":""Pause.""}","Well right now yes thats where I"
"{""decision"":""Pause.""}","At this moment Im probably doing about"
"{""decision"":""Pause""}","How you could build your business"
"{""decision"":""Pause""}","Lets see I"
"{""decision"":""Pause.""}","Say for instance"
"{""decision"":""Pause.""}","So as I was saying"
"{""decision"":""Pause.""}","Well again because my current obligation"
"{""decision"":""Pause.""}","Well right"
"{""decision"":""Pause.""}","I do something once a"
"{""decision"":""Pause.""}","No but let me just say"
"{""decision"":""Pause.""}","My price point is"
"{""decision"":""Keep talking.""}","Hey how are you?"
"{""decision"":""Pause.""}","Well"
"{""decision"":""Keep talking.""}","I do"
"{""decision"":""Pause.""}","Right now? I probably say about 25000"
"{""decision"":""Pause.""}","At this"
"{""decision"":""Pause.""}","Yes My financial target to be able"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""Pause.""}","Well I hadnt really sat down and"
"{""decision"":""Pause.""}","So as I"
"{""decision"":""Pause.""}","That drives me because of"
"{""decision"":""Pause.""}","To invest in growing"
"{""decision"":""Keep talking.""}","At this moment Im probably doing"
"{""decision"":""Pause.""}","That would be better for"
"{""decision"":""Pause.""}","The solitude for"
"{""decision"":""Pause.""}","Around 7000 a month the"
"{""decision"":""Pause.""}","Well right now yes thats"
"{""decision"":""Pause.""}","Lets see"
"{""decision"":""Pause.""}","Well again because my"
"{""decision"":""Pause.""}","Right now? I"
"{""decision"":""Pause.""}","Its me getting on a"
"{""decision"":""Pause.""}","Humanity Humanity will be on the top"
"{""decision"":""Pause.""}","Um my business so far"
"{""decision"":""Pause.""}","Okay so what"
"{""decision"":""Keep talking.""}","Right"
"{""decision"":""Pause.""}","I dont And thats the thing I"
"{""decision"":""Pause.""}","That for thats"
"{""decision"":""Keep talking.""}","Okay Im sorry"
"{""decision"":""Pause.""}","Well right now yes thats where"
"{""decision"":""Pause.""}","At this moment"
"{""decision"":""Keep talking.""}","Im good and yourself?"
"{""decision"":""Pause.""}","Yes my credit score"
"{""decision"":""Pause.""}","That drives me"
"{""decision"":""Pause.""}","How"
"{""decision"":""Pause.""}","Um my business so"
"{""decision"":""Pause.""}","Okay so"
"{""decision"":""Pause.""}","I dont And thats the"
"{""decision"":""Pause.""}","My"
"{""decision"":""Pause.""}","The solitude"
"{""decision"":""Keep talking.""}","Because"
"{""decision"":""Pause.""}","Well again because my current obligation in"
"{""decision"":""Pause.""}","At this moment Im probably"
"{""decision"":""Pause.""}","That drives me because of this world"
"{""decision"":""Pause.""}","How you could build"
"{""decision"":""Keep talking.""}","How you could build your"
"{""decision"":""Pause.""}","Yes my credit"
"{""decision"":""Pause.""}","Well I hadnt"
"{""decision"":""Pause.""}","So"
"{""decision"":""Pause.""}","How you could build your business Credit"
"{""decision"":""Keep talking.""}","Yes my credit score is"
"{""decision"":""Keep talking.""}","At"
"{""decision"":""Keep talking.""}","Right now?"
"{""decision"":""Pause.""}","So as I was"
"{""decision"":""Keep talking.""}","Its me getting on a plane going"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""Pause.""}","To invest in growing my business"
"{""decision"":""Keep talking.""}","Yes One of my skills"
"{""decision"":""Keep talking.""}","I do"
"{""decision"":""Keep talking.""}","I do something once a month"
"{""decision"":""Keep talking.""}","Yes My financial"
"{""decision"":""Keep talking.""}","Yes my credit score is 750"
"{""decision"":""Pause.""}","So as"
"{""decision"":""Pause.""}","How you"
"{""decision"":""Pause.""}","My annual"
